sigma,test_name,value
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,0.99
0.0,MMD,0.995
0.8333333333333334,FR,0.995
0.8333333333333334,HT,1.0
0.8333333333333334,KNN,0.995
0.8333333333333334,MMD,0.995
1.6666666666666667,FR,0.985
1.6666666666666667,HT,1.0
1.6666666666666667,KNN,0.985
1.6666666666666667,MMD,0.96
2.5,FR,0.95
2.5,HT,1.0
2.5,KNN,0.925
2.5,MMD,0.79
3.3333333333333335,FR,0.88
3.3333333333333335,HT,0.965
3.3333333333333335,KNN,0.825
3.3333333333333335,MMD,0.53
4.166666666666667,FR,0.76
4.166666666666667,HT,0.855
4.166666666666667,KNN,0.745
4.166666666666667,MMD,0.31
5.0,FR,0.53
5.0,HT,0.625
5.0,KNN,0.5
5.0,MMD,0.17
