sigma,test_name,value
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,1.0
0.0,MMD,1.0
0.25,FR,0.995
0.25,HT,1.0
0.25,KNN,0.995
0.25,MMD,1.0
0.5,FR,0.875
0.5,HT,0.995
0.5,KNN,0.875
0.5,MMD,0.965
0.75,FR,0.405
0.75,HT,0.76
0.75,KNN,0.43
0.75,MMD,0.805
1.0,FR,0.17
1.0,HT,0.295
1.0,KNN,0.17
1.0,MMD,0.475
1.25,FR,0.115
1.25,HT,0.17
1.25,KNN,0.14
1.25,MMD,0.28
1.5,FR,0.08
1.5,HT,0.125
1.5,KNN,0.085
1.5,MMD,0.2
