,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH-G,50,25,100,default,,100000.0,500,1.0
1,FH-G,50,50,100,default,,100000.0,500,1.0
2,FH-G,50,250,100,default,,100000.0,500,1.0
3,FH-G,50,500,100,default,,100000.0,500,1.0
4,FH-G,50,1000,100,default,,100000.0,500,0.93
5,FH-G,50,1500,100,default,,100000.0,500,0.8
6,FH-G,100,25,100,default,,100000.0,500,1.0
7,FH-G,100,50,100,default,,100000.0,500,1.0
8,FH-G,100,250,100,default,,100000.0,500,1.0
9,FH-G,100,500,100,default,,100000.0,500,1.0
10,FH-G,100,1000,100,default,,100000.0,500,1.0
11,FH-G,100,1500,100,default,,100000.0,500,0.98
12,FH-C,50,25,100,default,,100000.0,500,1.0
13,FH-C,50,50,100,default,,100000.0,500,1.0
14,FH-C,50,250,100,default,,100000.0,500,1.0
15,FH-C,50,500,100,default,,100000.0,500,1.0
16,FH-C,50,1000,100,default,,100000.0,500,0.95
17,FH-C,50,1500,100,default,,100000.0,500,0.87
18,FH-C,100,25,100,default,,100000.0,500,1.0
19,FH-C,100,50,100,default,,100000.0,500,1.0
20,FH-C,100,250,100,default,,100000.0,500,1.0
21,FH-C,100,500,100,default,,100000.0,500,1.0
22,FH-C,100,1000,100,default,,100000.0,500,1.0
23,FH-C,100,1500,100,default,,100000.0,500,1.0
24,MMD,50,25,100,default,,100000.0,500,1.0
25,MMD,50,50,100,default,,100000.0,500,1.0
26,MMD,50,250,100,default,,100000.0,500,0.78
27,MMD,50,500,100,default,,100000.0,500,0.49
28,MMD,50,1000,100,default,,100000.0,500,0.35
29,MMD,50,1500,100,default,,100000.0,500,0.22
30,MMD,100,25,100,default,,100000.0,500,1.0
31,MMD,100,50,100,default,,100000.0,500,1.0
32,MMD,100,250,100,default,,100000.0,500,1.0
33,MMD,100,500,100,default,,100000.0,500,0.86
34,MMD,100,1000,100,default,,100000.0,500,0.74
35,MMD,100,1500,100,default,,100000.0,500,0.5
36,KNN,50,25,100,default,,100000.0,500,0.99
37,KNN,50,50,100,default,,100000.0,500,0.97
38,KNN,50,250,100,default,,100000.0,500,0.31
39,KNN,50,500,100,default,,100000.0,500,0.25
40,KNN,50,1000,100,default,,100000.0,500,0.19
41,KNN,50,1500,100,default,,100000.0,500,0.08
42,KNN,100,25,100,default,,100000.0,500,1.0
43,KNN,100,50,100,default,,100000.0,500,1.0
44,KNN,100,250,100,default,,100000.0,500,0.8
45,KNN,100,500,100,default,,100000.0,500,0.29
46,KNN,100,1000,100,default,,100000.0,500,0.29
47,KNN,100,1500,100,default,,100000.0,500,0.17
48,FR,50,25,100,default,,100000.0,500,1.0
49,FR,50,50,100,default,,100000.0,500,0.96
50,FR,50,250,100,default,,100000.0,500,0.33
51,FR,50,500,100,default,,100000.0,500,0.24
52,FR,50,1000,100,default,,100000.0,500,0.18
53,FR,50,1500,100,default,,100000.0,500,0.1
54,FR,100,25,100,default,,100000.0,500,1.0
55,FR,100,50,100,default,,100000.0,500,1.0
56,FR,100,250,100,default,,100000.0,500,0.85
57,FR,100,500,100,default,,100000.0,500,0.36
58,FR,100,1000,100,default,,100000.0,500,0.31
59,FR,100,1500,100,default,,100000.0,500,0.17
60,HT,50,25,100,default,,100000.0,500,1.0
61,HT,50,50,100,default,,100000.0,500,1.0
62,HT,50,250,100,default,,100000.0,500,0.94
63,HT,50,500,100,default,,100000.0,500,0.58
64,HT,50,1000,100,default,,100000.0,500,0.39
65,HT,50,1500,100,default,,100000.0,500,0.25
66,HT,100,25,100,default,,100000.0,500,1.0
67,HT,100,50,100,default,,100000.0,500,1.0
68,HT,100,250,100,default,,100000.0,500,1.0
69,HT,100,500,100,default,,100000.0,500,0.94
70,HT,100,1000,100,default,,100000.0,500,0.71
71,HT,100,1500,100,default,,100000.0,500,0.42
