sigma,test_name,value
0.0,FR,0.995
0.0,HT,1.0
0.0,KNN,1.0
0.0,MMD,1.0
0.8333333333333334,FR,1.0
0.8333333333333334,HT,1.0
0.8333333333333334,KNN,1.0
0.8333333333333334,MMD,0.995
1.6666666666666667,FR,1.0
1.6666666666666667,HT,1.0
1.6666666666666667,KNN,1.0
1.6666666666666667,MMD,0.95
2.5,FR,0.995
2.5,HT,1.0
2.5,KNN,0.965
2.5,MMD,0.795
3.3333333333333335,FR,0.87
3.3333333333333335,HT,0.985
3.3333333333333335,KNN,0.85
3.3333333333333335,MMD,0.455
4.166666666666667,FR,0.715
4.166666666666667,HT,0.865
4.166666666666667,KNN,0.69
4.166666666666667,MMD,0.26
5.0,FR,0.48
5.0,HT,0.63
5.0,KNN,0.46
5.0,MMD,0.17
