,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,0.336
1,FH,50,50,250,default,,100000.0,500,0.268
2,FH,50,250,250,default,,100000.0,500,0.16
3,FH,50,500,250,default,,100000.0,500,0.116
4,FH,50,1000,250,default,,100000.0,500,0.092
5,FH,50,1500,250,default,,100000.0,500,0.072
6,FH,100,25,250,default,,100000.0,500,0.684
7,FH,100,50,250,default,,100000.0,500,0.488
8,FH,100,250,250,default,,100000.0,500,0.3
9,FH,100,500,250,default,,100000.0,500,0.192
10,FH,100,1000,250,default,,100000.0,500,0.172
11,FH,100,1500,250,default,,100000.0,500,0.14
12,MMD,50,25,250,default,,100000.0,500,0.748
13,MMD,50,50,250,default,,100000.0,500,0.54
14,MMD,50,250,250,default,,100000.0,500,0.232
15,MMD,50,500,250,default,,100000.0,500,0.18
16,MMD,50,1000,250,default,,100000.0,500,0.124
17,MMD,50,1500,250,default,,100000.0,500,0.108
18,MMD,100,25,250,default,,100000.0,500,0.984
19,MMD,100,50,250,default,,100000.0,500,0.944
20,MMD,100,250,250,default,,100000.0,500,0.584
21,MMD,100,500,250,default,,100000.0,500,0.372
22,MMD,100,1000,250,default,,100000.0,500,0.224
23,MMD,100,1500,250,default,,100000.0,500,0.208
24,KNN,50,25,250,default,,100000.0,500,0.14
25,KNN,50,50,250,default,,100000.0,500,0.116
26,KNN,50,250,250,default,,100000.0,500,0.056
27,KNN,50,500,250,default,,100000.0,500,0.068
28,KNN,50,1000,250,default,,100000.0,500,0.048
29,KNN,50,1500,250,default,,100000.0,500,0.06
30,KNN,100,25,250,default,,100000.0,500,0.276
31,KNN,100,50,250,default,,100000.0,500,0.2
32,KNN,100,250,250,default,,100000.0,500,0.072
33,KNN,100,500,250,default,,100000.0,500,0.084
34,KNN,100,1000,250,default,,100000.0,500,0.036
35,KNN,100,1500,250,default,,100000.0,500,0.048
36,FR,50,25,250,default,,100000.0,500,0.16
37,FR,50,50,250,default,,100000.0,500,0.132
38,FR,50,250,250,default,,100000.0,500,0.068
39,FR,50,500,250,default,,100000.0,500,0.072
40,FR,50,1000,250,default,,100000.0,500,0.048
41,FR,50,1500,250,default,,100000.0,500,0.06
42,FR,100,25,250,default,,100000.0,500,0.272
43,FR,100,50,250,default,,100000.0,500,0.204
44,FR,100,250,250,default,,100000.0,500,0.088
45,FR,100,500,250,default,,100000.0,500,0.072
46,FR,100,1000,250,default,,100000.0,500,0.028
47,FR,100,1500,250,default,,100000.0,500,0.056
48,HT,50,25,250,default,,100000.0,500,0.468
49,HT,50,50,250,default,,100000.0,500,0.332
50,HT,50,250,250,default,,100000.0,500,0.136
51,HT,50,500,250,default,,100000.0,500,0.12
52,HT,50,1000,250,default,,100000.0,500,0.104
53,HT,50,1500,250,default,,100000.0,500,0.08
54,HT,100,25,250,default,,100000.0,500,0.712
55,HT,100,50,250,default,,100000.0,500,0.492
56,HT,100,250,250,default,,100000.0,500,0.212
57,HT,100,500,250,default,,100000.0,500,0.148
58,HT,100,1000,250,default,,100000.0,500,0.096
59,HT,100,1500,250,default,,100000.0,500,0.116
