,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,0.56
1,FH,50,50,100,default,,100000.0,500,0.5
2,FH,50,250,100,default,,100000.0,500,0.26
3,FH,50,500,100,default,,100000.0,500,0.26
4,FH,50,1000,100,default,,100000.0,500,0.11
5,FH,50,1500,100,default,,100000.0,500,0.09
6,FH,100,25,100,default,,100000.0,500,0.93
7,FH,100,50,100,default,,100000.0,500,0.82
8,FH,100,250,100,default,,100000.0,500,0.44
9,FH,100,500,100,default,,100000.0,500,0.44
10,FH,100,1000,100,default,,100000.0,500,0.23
11,FH,100,1500,100,default,,100000.0,500,0.19
12,MMD,50,25,100,default,,100000.0,500,0.94
13,MMD,50,50,100,default,,100000.0,500,0.91
14,MMD,50,250,100,default,,100000.0,500,0.35
15,MMD,50,500,100,default,,100000.0,500,0.36
16,MMD,50,1000,100,default,,100000.0,500,0.11
17,MMD,50,1500,100,default,,100000.0,500,0.16
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,1.0
20,MMD,100,250,100,default,,100000.0,500,0.82
21,MMD,100,500,100,default,,100000.0,500,0.64
22,MMD,100,1000,100,default,,100000.0,500,0.34
23,MMD,100,1500,100,default,,100000.0,500,0.33
24,KNN,50,25,100,default,,100000.0,500,0.25
25,KNN,50,50,100,default,,100000.0,500,0.15
26,KNN,50,250,100,default,,100000.0,500,0.07
27,KNN,50,500,100,default,,100000.0,500,0.06
28,KNN,50,1000,100,default,,100000.0,500,0.06
29,KNN,50,1500,100,default,,100000.0,500,0.03
30,KNN,100,25,100,default,,100000.0,500,0.48
31,KNN,100,50,100,default,,100000.0,500,0.29
32,KNN,100,250,100,default,,100000.0,500,0.1
33,KNN,100,500,100,default,,100000.0,500,0.1
34,KNN,100,1000,100,default,,100000.0,500,0.07
35,KNN,100,1500,100,default,,100000.0,500,0.09
36,FR,50,25,100,default,,100000.0,500,0.29
37,FR,50,50,100,default,,100000.0,500,0.23
38,FR,50,250,100,default,,100000.0,500,0.1
39,FR,50,500,100,default,,100000.0,500,0.02
40,FR,50,1000,100,default,,100000.0,500,0.06
41,FR,50,1500,100,default,,100000.0,500,0.06
42,FR,100,25,100,default,,100000.0,500,0.52
43,FR,100,50,100,default,,100000.0,500,0.32
44,FR,100,250,100,default,,100000.0,500,0.11
45,FR,100,500,100,default,,100000.0,500,0.09
46,FR,100,1000,100,default,,100000.0,500,0.05
47,FR,100,1500,100,default,,100000.0,500,0.15
48,HT,50,25,100,default,,100000.0,500,0.68
49,HT,50,50,100,default,,100000.0,500,0.56
50,HT,50,250,100,default,,100000.0,500,0.22
51,HT,50,500,100,default,,100000.0,500,0.19
52,HT,50,1000,100,default,,100000.0,500,0.11
53,HT,50,1500,100,default,,100000.0,500,0.09
54,HT,100,25,100,default,,100000.0,500,0.92
55,HT,100,50,100,default,,100000.0,500,0.91
56,HT,100,250,100,default,,100000.0,500,0.29
57,HT,100,500,100,default,,100000.0,500,0.22
58,HT,100,1000,100,default,,100000.0,500,0.11
59,HT,100,1500,100,default,,100000.0,500,0.15
