,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,5,25,100,default,,100000.0,50,0.23
1,FH,5,50,100,default,,100000.0,50,0.28
2,MMD,5,25,100,default,,100000.0,50,0.22
3,MMD,5,50,100,default,,100000.0,50,0.13
4,KNN,5,25,100,default,,100000.0,50,0.03
5,KNN,5,50,100,default,,100000.0,50,0.03
6,FR,5,25,100,default,,100000.0,50,0.02
7,FR,5,50,100,default,,100000.0,50,0.01
8,HT,5,25,100,default,,100000.0,50,0.0
9,HT,5,50,100,default,,100000.0,50,0.0
