sigma,test_name,value
0.0,FH-C,1.0
0.0,FH-G,1.0
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,1.0
0.0,MMD,0.995
0.8333333333333334,FH-C,1.0
0.8333333333333334,FH-G,1.0
0.8333333333333334,FR,1.0
0.8333333333333334,HT,1.0
0.8333333333333334,KNN,1.0
0.8333333333333334,MMD,0.995
1.6666666666666667,FH-C,1.0
1.6666666666666667,FH-G,1.0
1.6666666666666667,FR,1.0
1.6666666666666667,HT,1.0
1.6666666666666667,KNN,1.0
1.6666666666666667,MMD,0.965
2.5,FH-C,0.945
2.5,FH-G,1.0
2.5,FR,0.965
2.5,HT,1.0
2.5,KNN,0.94
2.5,MMD,0.775
3.3333333333333335,FH-C,0.62
3.3333333333333335,FH-G,0.985
3.3333333333333335,FR,0.91
3.3333333333333335,HT,0.975
3.3333333333333335,KNN,0.855
3.3333333333333335,MMD,0.495
4.166666666666667,FH-C,0.385
4.166666666666667,FH-G,0.875
4.166666666666667,FR,0.66
4.166666666666667,HT,0.81
4.166666666666667,KNN,0.665
4.166666666666667,MMD,0.265
5.0,FH-C,0.185
5.0,FH-G,0.68
5.0,FR,0.44
5.0,HT,0.61
5.0,KNN,0.49
5.0,MMD,0.145
