,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,75,25,100,default,,100000.0,100,0.92
1,FH,75,50,100,default,,100000.0,100,1.0
2,FH,75,250,100,default,,100000.0,100,0.91
3,FH,75,500,100,default,,100000.0,100,0.77
4,FH,75,1000,100,default,,100000.0,100,0.72
5,MMD,75,25,100,default,,100000.0,100,1.0
6,MMD,75,50,100,default,,100000.0,100,1.0
7,MMD,75,250,100,default,,100000.0,100,0.97
8,MMD,75,500,100,default,,100000.0,100,0.94
9,MMD,75,1000,100,default,,100000.0,100,0.85
10,KNN,75,25,100,default,,100000.0,100,0.39
11,KNN,75,50,100,default,,100000.0,100,0.75
12,KNN,75,250,100,default,,100000.0,100,0.32
13,KNN,75,500,100,default,,100000.0,100,0.18
14,KNN,75,1000,100,default,,100000.0,100,0.23
15,FR,75,25,100,default,,100000.0,100,0.51
16,FR,75,50,100,default,,100000.0,100,0.77
17,FR,75,250,100,default,,100000.0,100,0.35
18,FR,75,500,100,default,,100000.0,100,0.16
19,FR,75,1000,100,default,,100000.0,100,0.2
