,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,100,0.76
1,FH,50,50,100,default,,100000.0,100,0.66
2,FH,50,250,100,default,,100000.0,100,0.46
3,FH,50,500,100,default,,100000.0,100,0.35
4,MMD,50,25,100,default,,100000.0,100,1.0
5,MMD,50,50,100,default,,100000.0,100,0.96
6,MMD,50,250,100,default,,100000.0,100,0.5
7,MMD,50,500,100,default,,100000.0,100,0.36
8,KNN,50,25,100,default,,100000.0,100,0.39
9,KNN,50,50,100,default,,100000.0,100,0.23
10,KNN,50,250,100,default,,100000.0,100,0.11
11,KNN,50,500,100,default,,100000.0,100,0.11
12,FR,50,25,100,default,,100000.0,100,0.45
13,FR,50,50,100,default,,100000.0,100,0.31
14,FR,50,250,100,default,,100000.0,100,0.1
15,FR,50,500,100,default,,100000.0,100,0.1
16,HT,50,25,100,default,,100000.0,100,0.88
17,HT,50,50,100,default,,100000.0,100,0.71
18,HT,50,250,100,default,,100000.0,100,0.3
19,HT,50,500,100,default,,100000.0,100,0.21
20,FullFH,50,25,100,default,,100000.0,100,0.98
21,FullFH,50,50,100,default,,100000.0,100,0.93
22,FullFH,50,250,100,default,,100000.0,100,0.5
23,FullFH,50,500,100,default,,100000.0,100,0.33
