,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,100,0.75
1,FH,50,50,100,default,,100000.0,100,0.64
2,FH,50,250,100,default,,100000.0,100,0.46
3,FH,50,500,100,default,,100000.0,100,0.22
4,MMD,50,25,100,default,,100000.0,100,0.95
5,MMD,50,50,100,default,,100000.0,100,0.93
6,MMD,50,250,100,default,,100000.0,100,0.56
7,MMD,50,500,100,default,,100000.0,100,0.36
8,KNN,50,25,100,default,,100000.0,100,0.37
9,KNN,50,50,100,default,,100000.0,100,0.3
10,KNN,50,250,100,default,,100000.0,100,0.11
11,KNN,50,500,100,default,,100000.0,100,0.06
12,FR,50,25,100,default,,100000.0,100,0.42
13,FR,50,50,100,default,,100000.0,100,0.27
14,FR,50,250,100,default,,100000.0,100,0.1
15,FR,50,500,100,default,,100000.0,100,0.08
16,HT,50,25,100,default,,100000.0,100,0.87
17,HT,50,50,100,default,,100000.0,100,0.62
18,HT,50,250,100,default,,100000.0,100,0.32
19,HT,50,500,100,default,,100000.0,100,0.22
20,FullFH,50,25,100,default,,100000.0,100,0.68
21,FullFH,50,50,100,default,,100000.0,100,0.59
22,FullFH,50,250,100,default,,100000.0,100,0.36
23,FullFH,50,500,100,default,,100000.0,100,0.16
