,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,5,25,100,default,,100000.0,50,0.12
1,FH,5,50,100,default,,100000.0,50,0.17
2,MMD,5,25,100,default,,100000.0,50,0.13
3,MMD,5,50,100,default,,100000.0,50,0.14
4,KNN,5,25,100,default,,100000.0,50,0.06
5,KNN,5,50,100,default,,100000.0,50,0.07
6,FR,5,25,100,default,,100000.0,50,0.06
7,FR,5,50,100,default,,100000.0,50,0.04
8,HT,5,25,100,default,,100000.0,50,0.0
9,HT,5,50,100,default,,100000.0,50,0.0
