,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,5,25,100,default,,100000.0,50,0.19
1,FH,5,50,100,default,,100000.0,50,0.16
2,FH,10,25,100,default,,100000.0,50,0.21
3,FH,10,50,100,default,,100000.0,50,0.14
4,FH,10,250,100,default,,100000.0,50,0.1
5,MMD,5,25,100,default,,100000.0,50,0.17
6,MMD,5,50,100,default,,100000.0,50,0.14
7,MMD,10,25,100,default,,100000.0,50,0.31
8,MMD,10,50,100,default,,100000.0,50,0.17
9,MMD,10,250,100,default,,100000.0,50,0.11
10,KNN,5,25,100,default,,100000.0,50,0.08
11,KNN,5,50,100,default,,100000.0,50,0.06
12,KNN,10,25,100,default,,100000.0,50,0.13
13,KNN,10,50,100,default,,100000.0,50,0.08
14,KNN,10,250,100,default,,100000.0,50,0.08
15,FR,5,25,100,default,,100000.0,50,0.06
16,FR,5,50,100,default,,100000.0,50,0.07
17,FR,10,25,100,default,,100000.0,50,0.14
18,FR,10,50,100,default,,100000.0,50,0.11
19,FR,10,250,100,default,,100000.0,50,0.06
20,HT,5,25,100,default,,100000.0,50,0.0
21,HT,5,50,100,default,,100000.0,50,0.0
22,HT,10,25,100,default,,100000.0,50,0.27
23,HT,10,50,100,default,,100000.0,50,0.15
24,HT,10,250,100,default,,100000.0,50,0.08
