,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,0.73
1,FH,50,50,100,default,,100000.0,500,0.62
2,FH,50,250,100,default,,100000.0,500,0.28
3,FH,50,500,100,default,,100000.0,500,0.2
4,FH,50,1000,100,default,,100000.0,500,0.17
5,FH,50,1500,100,default,,100000.0,500,0.2
6,FH,100,25,100,default,,100000.0,500,1.0
7,FH,100,50,100,default,,100000.0,500,0.98
8,FH,100,250,100,default,,100000.0,500,0.73
9,FH,100,500,100,default,,100000.0,500,0.6
10,FH,100,1000,100,default,,100000.0,500,0.42
11,FH,100,1500,100,default,,100000.0,500,0.4
12,MMD,50,25,100,default,,100000.0,500,0.99
13,MMD,50,50,100,default,,100000.0,500,0.97
14,MMD,50,250,100,default,,100000.0,500,0.53
15,MMD,50,500,100,default,,100000.0,500,0.35
16,MMD,50,1000,100,default,,100000.0,500,0.19
17,MMD,50,1500,100,default,,100000.0,500,0.27
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,1.0
20,MMD,100,250,100,default,,100000.0,500,0.98
21,MMD,100,500,100,default,,100000.0,500,0.88
22,MMD,100,1000,100,default,,100000.0,500,0.58
23,MMD,100,1500,100,default,,100000.0,500,0.56
24,KNN,50,25,100,default,,100000.0,500,0.37
25,KNN,50,50,100,default,,100000.0,500,0.26
26,KNN,50,250,100,default,,100000.0,500,0.08
27,KNN,50,500,100,default,,100000.0,500,0.08
28,KNN,50,1000,100,default,,100000.0,500,0.03
29,KNN,50,1500,100,default,,100000.0,500,0.06
30,KNN,100,25,100,default,,100000.0,500,0.67
31,KNN,100,50,100,default,,100000.0,500,0.58
32,KNN,100,250,100,default,,100000.0,500,0.23
33,KNN,100,500,100,default,,100000.0,500,0.15
34,KNN,100,1000,100,default,,100000.0,500,0.1
35,KNN,100,1500,100,default,,100000.0,500,0.08
36,FR,50,25,100,default,,100000.0,500,0.42
37,FR,50,50,100,default,,100000.0,500,0.32
38,FR,50,250,100,default,,100000.0,500,0.1
39,FR,50,500,100,default,,100000.0,500,0.09
40,FR,50,1000,100,default,,100000.0,500,0.05
41,FR,50,1500,100,default,,100000.0,500,0.09
42,FR,100,25,100,default,,100000.0,500,0.68
43,FR,100,50,100,default,,100000.0,500,0.61
44,FR,100,250,100,default,,100000.0,500,0.25
45,FR,100,500,100,default,,100000.0,500,0.17
46,FR,100,1000,100,default,,100000.0,500,0.11
47,FR,100,1500,100,default,,100000.0,500,0.08
48,HT,50,25,100,default,,100000.0,500,0.8
49,HT,50,50,100,default,,100000.0,500,0.7
50,HT,50,250,100,default,,100000.0,500,0.33
51,HT,50,500,100,default,,100000.0,500,0.19
52,HT,50,1000,100,default,,100000.0,500,0.12
53,HT,50,1500,100,default,,100000.0,500,0.1
54,HT,100,25,100,default,,100000.0,500,0.99
55,HT,100,50,100,default,,100000.0,500,0.97
56,HT,100,250,100,default,,100000.0,500,0.53
57,HT,100,500,100,default,,100000.0,500,0.38
58,HT,100,1000,100,default,,100000.0,500,0.28
59,HT,100,1500,100,default,,100000.0,500,0.16
