,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,20,default,,100000.0,100,0.8
1,FH,50,50,20,default,,100000.0,100,0.7
2,FH,50,250,20,default,,100000.0,100,0.25
3,FH,50,500,20,default,,100000.0,100,0.2
4,MMD,50,25,20,default,,100000.0,100,0.9
5,MMD,50,50,20,default,,100000.0,100,0.95
6,MMD,50,250,20,default,,100000.0,100,0.7
7,MMD,50,500,20,default,,100000.0,100,0.35
8,KNN,50,25,20,default,,100000.0,100,0.55
9,KNN,50,50,20,default,,100000.0,100,0.1
10,KNN,50,250,20,default,,100000.0,100,0.0
11,KNN,50,500,20,default,,100000.0,100,0.2
12,FR,50,25,20,default,,100000.0,100,0.45
13,FR,50,50,20,default,,100000.0,100,0.3
14,FR,50,250,20,default,,100000.0,100,0.0
15,FR,50,500,20,default,,100000.0,100,0.15
16,HT,50,25,20,default,,100000.0,100,0.9
17,HT,50,50,20,default,,100000.0,100,0.65
18,HT,50,250,20,default,,100000.0,100,0.25
19,HT,50,500,20,default,,100000.0,100,0.15
20,FullFH,50,25,20,default,,100000.0,100,0.9
21,FullFH,50,50,20,default,,100000.0,100,0.95
22,FullFH,50,250,20,default,,100000.0,100,0.6
23,FullFH,50,500,20,default,,100000.0,100,0.2
