,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,0.57
1,FH,50,50,100,default,,100000.0,500,0.42
2,FH,50,250,100,default,,100000.0,500,0.22
3,FH,50,500,100,default,,100000.0,500,0.11
4,FH,50,1000,100,default,,100000.0,500,0.12
5,FH,50,1500,100,default,,100000.0,500,0.18
6,FH,100,25,100,default,,100000.0,500,0.89
7,FH,100,50,100,default,,100000.0,500,0.73
8,FH,100,250,100,default,,100000.0,500,0.58
9,FH,100,500,100,default,,100000.0,500,0.4
10,FH,100,1000,100,default,,100000.0,500,0.3
11,FH,100,1500,100,default,,100000.0,500,0.22
12,MMD,50,25,100,default,,100000.0,500,0.95
13,MMD,50,50,100,default,,100000.0,500,0.76
14,MMD,50,250,100,default,,100000.0,500,0.3
15,MMD,50,500,100,default,,100000.0,500,0.23
16,MMD,50,1000,100,default,,100000.0,500,0.15
17,MMD,50,1500,100,default,,100000.0,500,0.18
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,0.98
20,MMD,100,250,100,default,,100000.0,500,0.85
21,MMD,100,500,100,default,,100000.0,500,0.55
22,MMD,100,1000,100,default,,100000.0,500,0.41
23,MMD,100,1500,100,default,,100000.0,500,0.24
24,KNN,50,25,100,default,,100000.0,500,0.24
25,KNN,50,50,100,default,,100000.0,500,0.25
26,KNN,50,250,100,default,,100000.0,500,0.1
27,KNN,50,500,100,default,,100000.0,500,0.06
28,KNN,50,1000,100,default,,100000.0,500,0.05
29,KNN,50,1500,100,default,,100000.0,500,0.01
30,KNN,100,25,100,default,,100000.0,500,0.39
31,KNN,100,50,100,default,,100000.0,500,0.31
32,KNN,100,250,100,default,,100000.0,500,0.1
33,KNN,100,500,100,default,,100000.0,500,0.12
34,KNN,100,1000,100,default,,100000.0,500,0.1
35,KNN,100,1500,100,default,,100000.0,500,0.12
36,FR,50,25,100,default,,100000.0,500,0.27
37,FR,50,50,100,default,,100000.0,500,0.16
38,FR,50,250,100,default,,100000.0,500,0.1
39,FR,50,500,100,default,,100000.0,500,0.05
40,FR,50,1000,100,default,,100000.0,500,0.05
41,FR,50,1500,100,default,,100000.0,500,0.02
42,FR,100,25,100,default,,100000.0,500,0.44
43,FR,100,50,100,default,,100000.0,500,0.3
44,FR,100,250,100,default,,100000.0,500,0.11
45,FR,100,500,100,default,,100000.0,500,0.13
46,FR,100,1000,100,default,,100000.0,500,0.1
47,FR,100,1500,100,default,,100000.0,500,0.1
48,HT,50,25,100,default,,100000.0,500,0.71
49,HT,50,50,100,default,,100000.0,500,0.51
50,HT,50,250,100,default,,100000.0,500,0.2
51,HT,50,500,100,default,,100000.0,500,0.11
52,HT,50,1000,100,default,,100000.0,500,0.09
53,HT,50,1500,100,default,,100000.0,500,0.07
54,HT,100,25,100,default,,100000.0,500,0.87
55,HT,100,50,100,default,,100000.0,500,0.8
56,HT,100,250,100,default,,100000.0,500,0.41
57,HT,100,500,100,default,,100000.0,500,0.26
58,HT,100,1000,100,default,,100000.0,500,0.13
59,HT,100,1500,100,default,,100000.0,500,0.14
