,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH-G,50,25,100,default,,100000.0,500,1.0
1,FH-G,50,50,100,default,,100000.0,500,1.0
2,FH-G,50,250,100,default,,100000.0,500,1.0
3,FH-G,50,500,100,default,,100000.0,500,0.99
4,FH-G,50,1000,100,default,,100000.0,500,0.75
5,FH-G,50,1500,100,default,,100000.0,500,0.5
6,FH-G,100,25,100,default,,100000.0,500,1.0
7,FH-G,100,50,100,default,,100000.0,500,1.0
8,FH-G,100,250,100,default,,100000.0,500,1.0
9,FH-G,100,500,100,default,,100000.0,500,1.0
10,FH-G,100,1000,100,default,,100000.0,500,0.99
11,FH-G,100,1500,100,default,,100000.0,500,0.93
12,FH-C,50,25,100,default,,100000.0,500,1.0
13,FH-C,50,50,100,default,,100000.0,500,1.0
14,FH-C,50,250,100,default,,100000.0,500,1.0
15,FH-C,50,500,100,default,,100000.0,500,0.99
16,FH-C,50,1000,100,default,,100000.0,500,0.81
17,FH-C,50,1500,100,default,,100000.0,500,0.62
18,FH-C,100,25,100,default,,100000.0,500,1.0
19,FH-C,100,50,100,default,,100000.0,500,1.0
20,FH-C,100,250,100,default,,100000.0,500,1.0
21,FH-C,100,500,100,default,,100000.0,500,1.0
22,FH-C,100,1000,100,default,,100000.0,500,1.0
23,FH-C,100,1500,100,default,,100000.0,500,0.97
24,MMD,50,25,100,default,,100000.0,500,1.0
25,MMD,50,50,100,default,,100000.0,500,0.99
26,MMD,50,250,100,default,,100000.0,500,0.21
27,MMD,50,500,100,default,,100000.0,500,0.06
28,MMD,50,1000,100,default,,100000.0,500,0.06
29,MMD,50,1500,100,default,,100000.0,500,0.06
30,MMD,100,25,100,default,,100000.0,500,1.0
31,MMD,100,50,100,default,,100000.0,500,1.0
32,MMD,100,250,100,default,,100000.0,500,0.37
33,MMD,100,500,100,default,,100000.0,500,0.11
34,MMD,100,1000,100,default,,100000.0,500,0.09
35,MMD,100,1500,100,default,,100000.0,500,0.07
36,KNN,50,25,100,default,,100000.0,500,0.97
37,KNN,50,50,100,default,,100000.0,500,0.82
38,KNN,50,250,100,default,,100000.0,500,0.23
39,KNN,50,500,100,default,,100000.0,500,0.11
40,KNN,50,1000,100,default,,100000.0,500,0.06
41,KNN,50,1500,100,default,,100000.0,500,0.04
42,KNN,100,25,100,default,,100000.0,500,1.0
43,KNN,100,50,100,default,,100000.0,500,1.0
44,KNN,100,250,100,default,,100000.0,500,0.39
45,KNN,100,500,100,default,,100000.0,500,0.23
46,KNN,100,1000,100,default,,100000.0,500,0.13
47,KNN,100,1500,100,default,,100000.0,500,0.15
48,FR,50,25,100,default,,100000.0,500,0.97
49,FR,50,50,100,default,,100000.0,500,0.88
50,FR,50,250,100,default,,100000.0,500,0.2
51,FR,50,500,100,default,,100000.0,500,0.1
52,FR,50,1000,100,default,,100000.0,500,0.04
53,FR,50,1500,100,default,,100000.0,500,0.09
54,FR,100,25,100,default,,100000.0,500,1.0
55,FR,100,50,100,default,,100000.0,500,1.0
56,FR,100,250,100,default,,100000.0,500,0.49
57,FR,100,500,100,default,,100000.0,500,0.27
58,FR,100,1000,100,default,,100000.0,500,0.11
59,FR,100,1500,100,default,,100000.0,500,0.16
60,HT,50,25,100,default,,100000.0,500,1.0
61,HT,50,50,100,default,,100000.0,500,1.0
62,HT,50,250,100,default,,100000.0,500,0.59
63,HT,50,500,100,default,,100000.0,500,0.24
64,HT,50,1000,100,default,,100000.0,500,0.12
65,HT,50,1500,100,default,,100000.0,500,0.07
66,HT,100,25,100,default,,100000.0,500,1.0
67,HT,100,50,100,default,,100000.0,500,1.0
68,HT,100,250,100,default,,100000.0,500,0.97
69,HT,100,500,100,default,,100000.0,500,0.67
70,HT,100,1000,100,default,,100000.0,500,0.4
71,HT,100,1500,100,default,,100000.0,500,0.26
