sigma,test_name,value
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,0.995
0.0,MMD,0.995
0.25,FR,1.0
0.25,HT,1.0
0.25,KNN,0.99
0.25,MMD,0.99
0.5,FR,0.89
0.5,HT,0.985
0.5,KNN,0.885
0.5,MMD,0.98
0.75,FR,0.415
0.75,HT,0.705
0.75,KNN,0.385
0.75,MMD,0.76
1.0,FR,0.145
1.0,HT,0.375
1.0,KNN,0.16
1.0,MMD,0.555
1.25,FR,0.13
1.25,HT,0.175
1.25,KNN,0.135
1.25,MMD,0.335
1.5,FR,0.125
1.5,HT,0.16
1.5,KNN,0.1
1.5,MMD,0.21
