,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,1.0
1,FH,50,50,250,default,,100000.0,500,0.996
2,FH,50,250,250,default,,100000.0,500,0.972
3,FH,50,500,250,default,,100000.0,500,0.756
4,FH,50,1000,250,default,,100000.0,500,0.492
5,FH,50,1500,250,default,,100000.0,500,0.352
6,FH,100,25,250,default,,100000.0,500,1.0
7,FH,100,50,250,default,,100000.0,500,1.0
8,FH,100,250,250,default,,100000.0,500,1.0
9,FH,100,500,250,default,,100000.0,500,0.98
10,FH,100,1000,250,default,,100000.0,500,0.804
11,FH,100,1500,250,default,,100000.0,500,0.624
12,MMD,50,25,250,default,,100000.0,500,1.0
13,MMD,50,50,250,default,,100000.0,500,0.84
14,MMD,50,250,250,default,,100000.0,500,0.156
15,MMD,50,500,250,default,,100000.0,500,0.124
16,MMD,50,1000,250,default,,100000.0,500,0.08
17,MMD,50,1500,250,default,,100000.0,500,0.084
18,MMD,100,25,250,default,,100000.0,500,1.0
19,MMD,100,50,250,default,,100000.0,500,0.996
20,MMD,100,250,250,default,,100000.0,500,0.436
21,MMD,100,500,250,default,,100000.0,500,0.176
22,MMD,100,1000,250,default,,100000.0,500,0.144
23,MMD,100,1500,250,default,,100000.0,500,0.116
24,KNN,50,25,250,default,,100000.0,500,0.592
25,KNN,50,50,250,default,,100000.0,500,0.372
26,KNN,50,250,250,default,,100000.0,500,0.112
27,KNN,50,500,250,default,,100000.0,500,0.064
28,KNN,50,1000,250,default,,100000.0,500,0.044
29,KNN,50,1500,250,default,,100000.0,500,0.032
30,KNN,100,25,250,default,,100000.0,500,0.932
31,KNN,100,50,250,default,,100000.0,500,0.744
32,KNN,100,250,250,default,,100000.0,500,0.188
33,KNN,100,500,250,default,,100000.0,500,0.104
34,KNN,100,1000,250,default,,100000.0,500,0.072
35,KNN,100,1500,250,default,,100000.0,500,0.068
36,FR,50,25,250,default,,100000.0,500,0.656
37,FR,50,50,250,default,,100000.0,500,0.404
38,FR,50,250,250,default,,100000.0,500,0.112
39,FR,50,500,250,default,,100000.0,500,0.072
40,FR,50,1000,250,default,,100000.0,500,0.056
41,FR,50,1500,250,default,,100000.0,500,0.032
42,FR,100,25,250,default,,100000.0,500,0.972
43,FR,100,50,250,default,,100000.0,500,0.824
44,FR,100,250,250,default,,100000.0,500,0.232
45,FR,100,500,250,default,,100000.0,500,0.092
46,FR,100,1000,250,default,,100000.0,500,0.088
47,FR,100,1500,250,default,,100000.0,500,0.08
48,HT,50,25,250,default,,100000.0,500,0.992
49,HT,50,50,250,default,,100000.0,500,0.88
50,HT,50,250,250,default,,100000.0,500,0.264
51,HT,50,500,250,default,,100000.0,500,0.128
52,HT,50,1000,250,default,,100000.0,500,0.08
53,HT,50,1500,250,default,,100000.0,500,0.048
54,HT,100,25,250,default,,100000.0,500,1.0
55,HT,100,50,250,default,,100000.0,500,1.0
56,HT,100,250,250,default,,100000.0,500,0.636
57,HT,100,500,250,default,,100000.0,500,0.276
58,HT,100,1000,250,default,,100000.0,500,0.196
59,HT,100,1500,250,default,,100000.0,500,0.124
