,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,5,25,100,default,,100000.0,50,0.14
1,FH,5,50,100,default,,100000.0,50,0.17
2,FH,10,25,100,default,,100000.0,50,0.53
3,FH,10,50,100,default,,100000.0,50,0.44
4,FH,10,250,100,default,,100000.0,50,0.15
5,MMD,5,25,100,default,,100000.0,50,0.1
6,MMD,5,50,100,default,,100000.0,50,0.09
7,MMD,10,25,100,default,,100000.0,50,0.28
8,MMD,10,50,100,default,,100000.0,50,0.16
9,MMD,10,250,100,default,,100000.0,50,0.08
10,KNN,5,25,100,default,,100000.0,50,0.06
11,KNN,5,50,100,default,,100000.0,50,0.04
12,KNN,10,25,100,default,,100000.0,50,0.09
13,KNN,10,50,100,default,,100000.0,50,0.05
14,KNN,10,250,100,default,,100000.0,50,0.04
15,FR,5,25,100,default,,100000.0,50,0.03
16,FR,5,50,100,default,,100000.0,50,0.01
17,FR,10,25,100,default,,100000.0,50,0.1
18,FR,10,50,100,default,,100000.0,50,0.05
19,FR,10,250,100,default,,100000.0,50,0.06
20,HT,5,25,100,default,,100000.0,50,0.0
21,HT,5,50,100,default,,100000.0,50,0.0
22,HT,10,25,100,default,,100000.0,50,0.32
23,HT,10,50,100,default,,100000.0,50,0.16
24,HT,10,250,100,default,,100000.0,50,0.09
