,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,1.0
1,FH,50,50,250,default,,100000.0,500,1.0
2,FH,50,250,250,default,,100000.0,500,0.932
3,FH,50,500,250,default,,100000.0,500,0.708
4,FH,50,1000,250,default,,100000.0,500,0.388
5,FH,50,1500,250,default,,100000.0,500,0.296
6,FH,100,25,250,default,,100000.0,500,1.0
7,FH,100,50,250,default,,100000.0,500,1.0
8,FH,100,250,250,default,,100000.0,500,1.0
9,FH,100,500,250,default,,100000.0,500,0.964
10,FH,100,1000,250,default,,100000.0,500,0.744
11,FH,100,1500,250,default,,100000.0,500,0.472
12,MMD,50,25,250,default,,100000.0,500,0.98
13,MMD,50,50,250,default,,100000.0,500,0.556
14,MMD,50,250,250,default,,100000.0,500,0.072
15,MMD,50,500,250,default,,100000.0,500,0.112
16,MMD,50,1000,250,default,,100000.0,500,0.04
17,MMD,50,1500,250,default,,100000.0,500,0.052
18,MMD,100,25,250,default,,100000.0,500,1.0
19,MMD,100,50,250,default,,100000.0,500,0.98
20,MMD,100,250,250,default,,100000.0,500,0.104
21,MMD,100,500,250,default,,100000.0,500,0.092
22,MMD,100,1000,250,default,,100000.0,500,0.06
23,MMD,100,1500,250,default,,100000.0,500,0.06
24,KNN,50,25,250,default,,100000.0,500,0.512
25,KNN,50,50,250,default,,100000.0,500,0.3
26,KNN,50,250,250,default,,100000.0,500,0.088
27,KNN,50,500,250,default,,100000.0,500,0.068
28,KNN,50,1000,250,default,,100000.0,500,0.032
29,KNN,50,1500,250,default,,100000.0,500,0.092
30,KNN,100,25,250,default,,100000.0,500,0.904
31,KNN,100,50,250,default,,100000.0,500,0.712
32,KNN,100,250,250,default,,100000.0,500,0.132
33,KNN,100,500,250,default,,100000.0,500,0.08
34,KNN,100,1000,250,default,,100000.0,500,0.08
35,KNN,100,1500,250,default,,100000.0,500,0.044
36,FR,50,25,250,default,,100000.0,500,0.572
37,FR,50,50,250,default,,100000.0,500,0.348
38,FR,50,250,250,default,,100000.0,500,0.112
39,FR,50,500,250,default,,100000.0,500,0.08
40,FR,50,1000,250,default,,100000.0,500,0.048
41,FR,50,1500,250,default,,100000.0,500,0.072
42,FR,100,25,250,default,,100000.0,500,0.928
43,FR,100,50,250,default,,100000.0,500,0.72
44,FR,100,250,250,default,,100000.0,500,0.152
45,FR,100,500,250,default,,100000.0,500,0.104
46,FR,100,1000,250,default,,100000.0,500,0.072
47,FR,100,1500,250,default,,100000.0,500,0.052
48,HT,50,25,250,default,,100000.0,500,0.968
49,HT,50,50,250,default,,100000.0,500,0.848
50,HT,50,250,250,default,,100000.0,500,0.184
51,HT,50,500,250,default,,100000.0,500,0.136
52,HT,50,1000,250,default,,100000.0,500,0.076
53,HT,50,1500,250,default,,100000.0,500,0.068
54,HT,100,25,250,default,,100000.0,500,1.0
55,HT,100,50,250,default,,100000.0,500,1.0
56,HT,100,250,250,default,,100000.0,500,0.472
57,HT,100,500,250,default,,100000.0,500,0.188
58,HT,100,1000,250,default,,100000.0,500,0.084
59,HT,100,1500,250,default,,100000.0,500,0.068
