,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,1.0
1,FH,50,50,250,default,,100000.0,500,1.0
2,FH,50,250,250,default,,100000.0,500,0.976
3,FH,50,500,250,default,,100000.0,500,0.816
4,FH,50,1000,250,default,,100000.0,500,0.54
5,FH,50,1500,250,default,,100000.0,500,0.388
6,FH,100,25,250,default,,100000.0,500,1.0
7,FH,100,50,250,default,,100000.0,500,1.0
8,FH,100,250,250,default,,100000.0,500,1.0
9,FH,100,500,250,default,,100000.0,500,0.992
10,FH,100,1000,250,default,,100000.0,500,0.868
11,FH,100,1500,250,default,,100000.0,500,0.72
12,MMD,50,25,250,default,,100000.0,500,1.0
13,MMD,50,50,250,default,,100000.0,500,0.924
14,MMD,50,250,250,default,,100000.0,500,0.288
15,MMD,50,500,250,default,,100000.0,500,0.2
16,MMD,50,1000,250,default,,100000.0,500,0.12
17,MMD,50,1500,250,default,,100000.0,500,0.096
18,MMD,100,25,250,default,,100000.0,500,1.0
19,MMD,100,50,250,default,,100000.0,500,1.0
20,MMD,100,250,250,default,,100000.0,500,0.616
21,MMD,100,500,250,default,,100000.0,500,0.436
22,MMD,100,1000,250,default,,100000.0,500,0.228
23,MMD,100,1500,250,default,,100000.0,500,0.196
24,KNN,50,25,250,default,,100000.0,500,0.664
25,KNN,50,50,250,default,,100000.0,500,0.448
26,KNN,50,250,250,default,,100000.0,500,0.108
27,KNN,50,500,250,default,,100000.0,500,0.08
28,KNN,50,1000,250,default,,100000.0,500,0.06
29,KNN,50,1500,250,default,,100000.0,500,0.048
30,KNN,100,25,250,default,,100000.0,500,0.976
31,KNN,100,50,250,default,,100000.0,500,0.828
32,KNN,100,250,250,default,,100000.0,500,0.252
33,KNN,100,500,250,default,,100000.0,500,0.132
34,KNN,100,1000,250,default,,100000.0,500,0.076
35,KNN,100,1500,250,default,,100000.0,500,0.08
36,FR,50,25,250,default,,100000.0,500,0.724
37,FR,50,50,250,default,,100000.0,500,0.5
38,FR,50,250,250,default,,100000.0,500,0.12
39,FR,50,500,250,default,,100000.0,500,0.084
40,FR,50,1000,250,default,,100000.0,500,0.08
41,FR,50,1500,250,default,,100000.0,500,0.044
42,FR,100,25,250,default,,100000.0,500,0.984
43,FR,100,50,250,default,,100000.0,500,0.888
44,FR,100,250,250,default,,100000.0,500,0.296
45,FR,100,500,250,default,,100000.0,500,0.14
46,FR,100,1000,250,default,,100000.0,500,0.084
47,FR,100,1500,250,default,,100000.0,500,0.108
48,HT,50,25,250,default,,100000.0,500,1.0
49,HT,50,50,250,default,,100000.0,500,0.952
50,HT,50,250,250,default,,100000.0,500,0.284
51,HT,50,500,250,default,,100000.0,500,0.244
52,HT,50,1000,250,default,,100000.0,500,0.104
53,HT,50,1500,250,default,,100000.0,500,0.08
54,HT,100,25,250,default,,100000.0,500,1.0
55,HT,100,50,250,default,,100000.0,500,1.0
56,HT,100,250,250,default,,100000.0,500,0.716
57,HT,100,500,250,default,,100000.0,500,0.436
58,HT,100,1000,250,default,,100000.0,500,0.216
59,HT,100,1500,250,default,,100000.0,500,0.188
